16:05:2014_13:08:55.1562500PM #100000905,100000906,100000907,100000908,100000909
22:08:2014_18:54:29.5156250PM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_19:06:32.1875000PM #100001524,100001525,100001526,100001528,100001529,100001532,100001533,100001534,100001535,100001536
22:08:2014_21:21:22.6093750PM #100001530
22:08:2014_21:24:33.7656250PM #100001530,100001524,100001525,100001526
22:08:2014_21:25:17.7343750PM #100001524,100001525,100001526,100001528
25:08:2014_12:12:17.1250000PM #100001543,100001542,100001540
25:08:2014_12:27:12.2500000PM #100001543,100001542,100001540
25:08:2014_12:36:50.3437500PM #100001543,100001542,100001540
25:08:2014_12:38:38.0937500PM #100001543,100001542,100001540,100001544,100001545,100001546,100001547,100001548,100001549,100001550,100001551,100001552,100001553,100001554,100001555,100001556
25:08:2014_12:39:21.2187500PM #100001523,100001524,100001525,100001526,100001527,100001528,100001529,100001530,100001531,100001532,100001533,100001534,100001535,100001536,100001537,100001538
25:08:2014_12:40:01.7500000PM #100001532,100001538
25:08:2014_13:19:38.8593750PM #100001532,100001538,100001543,100001542,100001540
25:08:2014_13:22:50.4062500PM #100001532,100001538,100001543,100001542,100001540
25:08:2014_13:35:44.3593750PM #100001532,100001538,100001543,100001542,100001540
25:08:2014_13:36:28.0625000PM #100001532,100001538,100001543,100001542,100001540
25:08:2014_13:36:32.9375000PM #100001532,100001538,100001543,100001542,100001540
25:08:2014_13:37:09.9531250PM #100001532,100001538,100001543,100001542,100001540
25:08:2014_13:41:36.7500000PM #100001532,100001538,100001543,100001542,100001540
25:08:2014_13:48:23.4687500PM #100001530,100001532,100001538,100001543,100001542,100001540
26:08:2014_12:01:37.8750000PM #100001530,100001532,100001538,100001543,100001542,100001540
26:08:2014_12:07:51.6406250PM #100001530,100001532,100001538,100001543,100001542,100001540
26:08:2014_12:07:57.7656250PM #100001530,100001532,100001538,100001543,100001542,100001540
28:08:2014_15:23:14.6562500PM #100001585,100001586,100001587,100001584,100001581,100001578,100001577,100001573,100001591,100001588,100001592,100001593,100001594,100001595,100001596,100001597,100001589,100001590,100001598,100001599,100001600,100001601,100001603
28:08:2014_15:27:05.5312500PM #100001585,100001586,100001587,100001584,100001581,100001578,100001577,100001573,100001591,100001588,100001592,100001593,100001594,100001595,100001596,100001597,100001589,100001590,100001598,100001599,100001600,100001601,100001603
28:08:2014_15:31:31.7500000PM #100001585,100001586,100001587,100001584,100001581,100001578,100001577,100001573,100001591,100001588,100001592,100001593,100001594,100001595,100001596,100001597,100001589,100001590,100001598,100001599,100001600,100001601,100001603
28:08:2014_15:42:50.7031250PM #100001585,100001586,100001587,100001584,100001581,100001578,100001577,100001573,100001591,100001588,100001592,100001593,100001594,100001595,100001596,100001597,100001589,100001590,100001598,100001599,100001600,100001601,100001603
28:08:2014_15:55:56.6250000PM #100001585,100001586,100001587,100001584,100001581,100001578,100001577,100001573,100001591,100001588,100001592,100001593,100001594,100001595,100001596,100001597,100001589,100001590,100001598,100001599,100001600,100001601,100001603
28:08:2014_15:56:35.4687500PM #100001585,100001586,100001587,100001584,100001581,100001578,100001577,100001573,100001591,100001588,100001592,100001593,100001594,100001595,100001596,100001597,100001589,100001590,100001598,100001599,100001600,100001601,100001603
28:08:2014_15:57:40.1406250PM #100001585,100001586,100001587,100001584,100001581,100001578,100001577,100001573,100001591,100001588,100001592,100001593,100001594,100001595,100001596,100001597,100001589,100001590,100001598,100001599,100001600,100001601,100001603
28:08:2014_16:07:36.2656250PM #100001585,100001586,100001587,100001584,100001581,100001578,100001577,100001573,100001591,100001588,100001592,100001593,100001594,100001595,100001596,100001597,100001589,100001590,100001598,100001599,100001600,100001601,100001603
28:08:2014_16:27:15.1718750PM #100001585,100001586,100001587,100001584,100001581,100001578,100001577,100001573,100001591,100001588,100001592,100001593,100001594,100001595,100001596,100001597,100001589,100001590,100001598,100001599,100001600,100001601,100001603
02:09:2014_16:55:22.6718750PM #100001614,100001615,100001617,100001618,100001619,100001621,100001622,100001623,100001624,100001625,100001626,100001627,100001628,100001629,100001630,100001632,100001633,100001634,100001635,100001636,100001637,100001638
02:09:2014_16:55:46.1718750PM #100001614,100001615,100001617,100001618,100001619,100001621,100001622,100001623,100001624,100001625,100001626,100001627,100001628,100001629,100001630,100001632,100001633,100001634,100001635,100001636,100001637,100001638
04:09:2014_11:27:05.0468750AM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_11:27:49.6875000AM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_11:45:50.9843750AM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_12:21:58.1562500PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_12:22:46.0468750PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_12:32:26.3906250PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_12:40:04.2500000PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_15:38:20.8437500PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_16:58:16.5000000PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_16:58:58.8437500PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_16:59:30.0781250PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_17:12:07.5156250PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_17:14:07.6406250PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_17:14:24.0468750PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_17:17:33.9375000PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_17:57:52.1875000PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_18:25:55.0937500PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_18:54:36.9375000PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_19:00:44.3906250PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_19:06:30.7031250PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_19:07:09.0468750PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_19:09:56.8906250PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_19:27:12.0937500PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_19:39:46.0312500PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
04:09:2014_19:54:03.4687500PM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
05:09:2014_11:39:48.9687500AM #100001639,100001640,100001641,100001642,100001643,100001644,100001646,100001648,100001651,100001652,100001653,100001654,100001655,100001656,100001657,100001659,100001660,100001662,100001663,100001665,100001664,100001667,100001668,100001669,100001670
05:09:2014_12:09:58.7656250PM #100001657
05:09:2014_12:12:10.1562500PM #100001657
05:09:2014_13:06:45.9375000PM #100001657
05:09:2014_13:18:28.3125000PM #100001657
05:09:2014_13:26:39.3125000PM #100001657
05:09:2014_13:28:12.3281250PM #100001657
05:09:2014_13:38:02.5625000PM #100001657
05:09:2014_13:42:37.7187500PM #100001657
05:09:2014_14:27:40.9375000PM #100001657
05:09:2014_14:28:00.9218750PM #100001657,100001679
05:09:2014_14:29:55.0625000PM #100001657,100001679
05:09:2014_14:30:29.5312500PM #100001657,100001679
05:09:2014_14:48:10.5937500PM #100001657,100001679
05:09:2014_14:54:18.7031250PM #100001657,100001679,100001663
05:09:2014_14:54:30.5625000PM #100001657,100001679,100001663
05:09:2014_15:33:51.0312500PM #100001657,100001679,100001663
05:09:2014_15:34:25.9218750PM #100001657,100001679,100001663
05:09:2014_15:54:04.8750000PM #100001657,100001679,100001663
05:09:2014_15:59:03.1562500PM #100001657,100001679,100001663
05:09:2014_16:03:17.6093750PM #100001657,100001679,100001663
05:09:2014_16:24:21.9375000PM #100001657,100001679,100001663
05:09:2014_16:38:23PM #100001657,100001679,100001663
05:09:2014_18:11:39.4531250PM #100001657,100001679,100001663
05:09:2014_18:32:44.4531250PM #100001657,100001679,100001663
05:09:2014_18:35:48.8906250PM #100001657,100001679,100001663
05:09:2014_19:37:33.4531250PM #100001671,100001672,100001673,100001674,100001678,100001679,100001680,100001681,100001682,100001684,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700
05:09:2014_19:40:09.0312500PM #100001671,100001672,100001673,100001674,100001678,100001679,100001680,100001681,100001682,100001684,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700
05:09:2014_20:14:13.6718750PM #100001671,100001672,100001673,100001674,100001678,100001679,100001680,100001681,100001682,100001684,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700
05:09:2014_20:30:21.7656250PM #100001671,100001672,100001673,100001674,100001678,100001679,100001680,100001681,100001682,100001684,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700
05:09:2014_20:49:41.3281250PM #100001671,100001672,100001673,100001674,100001678,100001680,100001681,100001682,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700
05:09:2014_20:49:52.6875000PM #100001671,100001672,100001673,100001674,100001678,100001680,100001681,100001682,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700
05:09:2014_20:50:17.3593750PM #100001671,100001672,100001673,100001674,100001678,100001680,100001681,100001682,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700
05:09:2014_20:52:15.9843750PM #100001671,100001672,100001673,100001674,100001678,100001680,100001681,100001682,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700
05:09:2014_21:03:22.2343750PM #100001671,100001672,100001673,100001674,100001678,100001680,100001681,100001682,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700
05:09:2014_21:06:57.9062500PM #100001671,100001672,100001673,100001674,100001678,100001680,100001681,100001682,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700
05:09:2014_21:12:48.0312500PM #100001671,100001672,100001673,100001674,100001678,100001680,100001681,100001682,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700
05:09:2014_21:18:30.8125000PM #100001671,100001672,100001673,100001674,100001678,100001680,100001681,100001682,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700,100001679,100001684,100001701,100001702
05:09:2014_21:19:01.8281250PM #100001671,100001672,100001673,100001674,100001678,100001680,100001681,100001682,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700,100001679,100001684,100001701,100001702
05:09:2014_21:30:00.2812500PM #100001671,100001672,100001673,100001674,100001678,100001680,100001681,100001682,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700,100001679,100001684,100001701,100001702
05:09:2014_21:32:49.9218750PM #100001671,100001672,100001673,100001674,100001678,100001680,100001681,100001682,100001685,100001686,100001687,100001688,100001689,100001691,100001693,100001694,100001695,100001696,100001697,100001698,100001699,100001700,100001679,100001684,100001701,100001702
05:09:2014_21:34:00.3750000PM #100001671,100001672,100001673,100001674,100001676,100001678,100001679,100001680,100001681,100001682,100001684,100001685,100001691,100001689,100001688,100001686,100001687,100001694,100001695,100001693,100001699,100001701,100001697,100001696
05:09:2014_21:35:41.5000000PM #100001671,100001672,100001673,100001674,100001676,100001678,100001679,100001680,100001681,100001682,100001684,100001685,100001691,100001689,100001688,100001686,100001687,100001694,100001695,100001693,100001699,100001701,100001697,100001696
05:09:2014_22:10:35.7187500PM #100001671,100001672,100001673,100001674,100001676,100001678,100001679,100001680,100001681,100001682,100001684,100001685,100001691,100001689,100001688,100001686,100001687,100001694,100001695,100001693,100001699,100001701,100001697,100001696
19:09:2014_14:25:27.2031250PM #100001671,100001672,100001673,100001674,100001676,100001678,100001679,100001680,100001681,100001682,100001684,100001685,100001691,100001689,100001688,100001686,100001687,100001694,100001695,100001693,100001699,100001701,100001697,100001696
19:09:2014_18:28:11.3437500PM #100001671,100001672,100001673,100001674,100001676,100001678,100001679,100001680,100001681,100001682,100001684,100001685,100001691,100001689,100001688,100001686,100001687,100001694,100001695,100001693,100001699,100001701,100001697,100001696,000000002
19:09:2014_18:28:42.2031250PM #100001671,100001672,100001673,100001674,100001676,100001678,100001679,100001680,100001681,100001682,100001684,100001685,100001691,100001689,100001688,100001686,100001687,100001694,100001695,100001693,100001699,100001701,100001697,100001696
19:09:2014_18:37:26.0781250PM #100001671,100001672,100001673,100001674,100001676,100001678,100001679,100001680,100001681,100001682,100001684,100001685,100001691,100001689,100001688,100001686,100001687,100001694,100001695,100001693,100001699,100001701,100001697,100001696,000000002
19:09:2014_18:37:52.8906250PM #100001671,100001672,100001673,100001674,100001676,100001678,100001679,100001680,100001681,100001682,100001684,100001685,100001691,100001689,100001688,100001686,100001687,100001694,100001695,100001693,100001699,100001701,100001697,100001696,000000002,000000001
20:09:2014_13:21:35.2656250PM #100001872,100001873,100001874,100001875,100001879,100001880,100001882,100001883,100001884,100001886,100001888,100001890,100001891,100001892,100001894,100001895,100001896,100001897,100001898,100001899,100001901,100001902,100001903,100001904,100001905,100001906,100001907,100001908,100001909,100001910,100001911

20:09:2014_13:22:23.8906250PM #100001872,100001873,100001874,100001875,100001879,100001880,100001882,100001883,100001884,100001886,100001888,100001890,100001891,100001892,100001894,100001895,100001896,100001897,100001898,100001899,100001901,100001902,100001903,100001904,100001905,100001906,100001907,100001908,100001909,100001910,100001911

20:09:2014_13:22:37.3750000PM #100001872,100001873,100001874,100001875,100001879,100001880,100001882,100001883,100001884,100001886,100001888,100001890,100001891,100001892,100001894,100001895,100001896,100001897,100001898,100001899,100001901,100001902,100001903,100001904,100001905,100001906,100001907,100001908,100001909,100001910,100001911

20:09:2014_13:22:59.6718750PM #100001872,100001873,100001874,100001875,100001879,100001880,100001882,100001883,100001884,100001886,100001888,100001890,100001891,100001892,100001894,100001895,100001896,100001897,100001898,100001899,100001901,100001902,100001903,100001904,100001905,100001906,100001907,100001908,100001909,100001910,100001911

20:09:2014_13:24:18.6250000PM #100001872,100001873,100001874,100001875,100001879,100001880,100001882,100001883,100001884,100001886,100001888,100001890,100001891,100001892,100001894,100001895,100001896,100001897,100001898,100001899,100001901,100001902,100001903,100001904,100001905,100001906,100001907,100001908,100001909,100001910,100001911

20:09:2014_13:36:27PM #100001888,100001890
20:09:2014_13:48:31.1875000PM #100001888,100001890,000000003
01:10:2014_13:39:23.1250000PM #100001888,100001890,000000003
09:10:2014_12:04:01.6562500PM #100002030,100002029,100002028,100002025,100002024,100002023,100002015,100002014,100002013,100002012,100002011,100002032,100002033,100002034,100002035,100002036,100002037,100002038,100002039,100002040,100002041,100002046,100002045,100002043,100002042,100002020,100002047,100002050,100002051,100002052,100002053,100002054,100002055,100002057,100002058,100002059,100002060,100002061,100002062,100002063,100002064,100002065,100002067,100002068,100002069,100002070,100002075,100002074
09:10:2014_12:04:08.8125000PM #100002030,100002029,100002028,100002025,100002024,100002023,100002015,100002014,100002013,100002012,100002011,100002032,100002033,100002034,100002035,100002036,100002037,100002038,100002039,100002040,100002041,100002046,100002045,100002043,100002042,100002020,100002047,100002050,100002051,100002052,100002053,100002054,100002055,100002057,100002058,100002059,100002060,100002061,100002062,100002063,100002064,100002065,100002067,100002068,100002069,100002070,100002075,100002074
09:10:2014_12:13:02.1875000PM #100002030,100002029,100002028,100002025,100002024,100002023,100002015,100002014,100002013,100002012,100002011,100002032,100002033,100002034,100002035,100002036,100002037,100002038,100002039,100002040,100002041,100002046,100002045,100002043,100002042,100002020,100002047,100002050,100002051,100002052,100002053,100002054,100002055,100002057,100002058,100002059,100002060,100002061,100002062,100002063,100002064,100002065,100002067,100002068,100002069,100002070,100002075,100002074
09:10:2014_12:27:24.6562500PM #100002030,100002029,100002028,100002025,100002024,100002023,100002015,100002014,100002013,100002012,100002011,100002032,100002033,100002034,100002035,100002036,100002037,100002038,100002039,100002040,100002041,100002046,100002045,100002043,100002042,100002020,100002047,100002050,100002051,100002052,100002053,100002054,100002055,100002057,100002058,100002059,100002060,100002061,100002062,100002063,100002064,100002065,100002067,100002068,100002069,100002070,100002075,100002074
09:10:2014_12:42:08.1406250PM #100002030,100002029,100002028,100002025,100002024,100002023,100002015,100002014,100002013,100002012,100002011,100002032,100002033,100002034,100002035,100002036,100002037,100002038,100002039,100002040,100002041,100002046,100002045,100002043,100002042,100002020,100002047,100002050,100002051,100002052,100002053,100002054,100002055,100002057,100002058,100002059,100002060,100002061,100002062,100002063,100002064,100002065,100002067,100002068,100002069,100002070,100002075,100002074
09:10:2014_13:03:47.1562500PM #100002030,100002029,100002028,100002025,100002024,100002023,100002015,100002014,100002013,100002012,100002011,100002032,100002033,100002034,100002035,100002036,100002037,100002038,100002039,100002040,100002041,100002046,100002045,100002043,100002042,100002020,100002047,100002050,100002051,100002052,100002053,100002054,100002055,100002057,100002058,100002059,100002060,100002061,100002062,100002063,100002064,100002065,100002067,100002068,100002069,100002070,100002075,100002074
09:10:2014_13:18:44.9843750PM #100002030,100002029,100002028,100002025,100002024,100002023,100002015,100002014,100002013,100002012,100002011,100002032,100002033,100002034,100002035,100002036,100002037,100002038,100002039,100002040,100002041,100002046,100002045,100002043,100002042,100002020,100002047,100002050,100002051,100002052,100002053,100002054,100002055,100002057,100002058,100002059,100002060,100002061,100002062,100002063,100002064,100002065,100002067,100002068,100002069,100002070,100002075,100002074
09:10:2014_13:23:31.7812500PM #100002030,100002029,100002028,100002025,100002024,100002023,100002015,100002014,100002013,100002012,100002011,100002032,100002033,100002034,100002035,100002036,100002037,100002038,100002039,100002040,100002041,100002046,100002045,100002043,100002042,100002020,100002047,100002050,100002051,100002052,100002053,100002054,100002055,100002057,100002058,100002059,100002060,100002061,100002062,100002063,100002064,100002065,100002067,100002068,100002069,100002070,100002075,100002074
09:10:2014_13:29:45.2968750PM #100002030,100002029,100002028,100002025,100002024,100002023,100002015,100002014,100002013,100002012,100002011,100002032,100002033,100002034,100002035,100002036,100002037,100002038,100002039,100002040,100002041,100002046,100002045,100002043,100002042,100002020,100002047,100002050,100002051,100002052,100002053,100002054,100002055,100002057,100002058,100002059,100002060,100002061,100002062,100002063,100002064,100002065,100002067,100002068,100002069,100002070,100002075,100002074
09:10:2014_13:31:05.6718750PM #100002030,100002029,100002028,100002025,100002024,100002023,100002015,100002014,100002013,100002012,100002011,100002032,100002033,100002034,100002035,100002036,100002037,100002038,100002039,100002040,100002041,100002046,100002045,100002043,100002042,100002020,100002047,100002050,100002051,100002052,100002053,100002054,100002055,100002057,100002058,100002059,100002060,100002061,100002062,100002063,100002064,100002065,100002067,100002068,100002069,100002070,100002075,100002074
28:10:2014_12:06:42.5625000PM #100002254,100002270,100002286,100002257,100002260,100002262,100002263,100002264,100002265,100002266,100002268,100002271,100002272,100002273,100002274,100002275,100002276,100002282,100002283,100002287,100002288
28:10:2014_12:24:26.2968750PM #100002254,100002270,100002286,100002257,100002260,100002262,100002263,100002264,100002265,100002266,100002268,100002271,100002272,100002273,100002274,100002275,100002276,100002282,100002283,100002287,100002288
28:10:2014_12:44:11.2343750PM #100002254,100002270,100002286,100002257,100002260,100002262,100002263,100002264,100002265,100002266,100002268,100002271,100002272,100002273,100002274,100002275,100002276,100002282,100002283,100002287,100002288
29:10:2014_18:36:34.6718750PM #100002254,100002270,100002286,100002257,100002260,100002262,100002263,100002264,100002265,100002266,100002268,100002271,100002272,100002273,100002274,100002275,100002276,100002282,100002283,100002287,100002288
29:10:2014_18:37:34.8750000PM #100002254,100002270,100002286,100002257,100002260,100002262,100002263,100002264,100002265,100002266,100002268,100002271,100002272,100002273,100002274,100002275,100002276,100002282,100002283,100002287,100002288
29:10:2014_18:39:34.8281250PM #100002305
29:10:2014_18:42:55.7187500PM #100002305
29:10:2014_19:09:47.3125000PM #100002290,100002294,100002297,100002298,100002303,100002305,100002301,100002304,100002306
29:10:2014_19:39:57.9687500PM #100002290,100002294,100002297,100002298,100002303,100002305,100002301,100002304,100002306
15:11:2014_12:49:29.6406250PM #100002476
15:11:2014_12:49:54.4062500PM #100002476
15:11:2014_12:50:51.5625000PM #100002476
15:11:2014_12:51:58.0156250PM #100002453,100002455,100002456,100002457,100002458,100002459,100002460,100002461,100002462,100002464,100002465,100002466,100002467,100002468,100002469,100002470,100002473,100002474
15:11:2014_12:52:43.1093750PM #100002453,100002455,100002456,100002457,100002458,100002459,100002460,100002461,100002462,100002464,100002465,100002466,100002467,100002468,100002469,100002470,100002473,100002474
15:11:2014_13:06:57.3593750PM #100002473,100002474
15:11:2014_13:12:04.4843750PM #100002473,100002474
15:11:2014_13:17:34.6718750PM #100002473,100002474
20:11:2014_19:54:35.8437500PM #100002543,100002542
01:12:2014_11:14:08.0312500AM #100002655,100002656,100002658,100002659,100002660,100002661,100002664,100002665,100002667,100002668,100002669,100002670,100002671
01:12:2014_11:14:24.0625000AM #100002655,100002656,100002658,100002659,100002660,100002661,100002664,100002665,100002667,100002668,100002669,100002670,100002671
01:12:2014_11:16:55.7187500AM #100002655,100002656,100002658,100002659,100002660,100002661,100002664,100002665,100002667,100002668,100002669,100002670,100002671
01:12:2014_11:18:13.6093750AM #100002655,100002656,100002658,100002659,100002660,100002661,100002664,100002665,100002667,100002668,100002669,100002670,100002671
01:12:2014_11:18:33.4531250AM #100002655,100002656,100002658,100002659,100002660,100002661,100002664,100002665,100002667,100002668,100002669,100002670,100002671
01:12:2014_11:20:27.3906250AM #100002655,100002656,100002658,100002659,100002660,100002661,100002664,100002665,100002667,100002668,100002669,100002670,100002671
01:12:2014_11:21:43.0781250AM #100002655
01:12:2014_11:22:21.1093750AM #100002668
01:12:2014_11:23:59.1093750AM #100002655
01:12:2014_11:24:43.7812500AM #100002655
01:12:2014_11:31:45.2656250AM #100002655,100002656,100002658,100002659,100002661,100002664,100002665,100002667,100002668,100002669,100002671
01:12:2014_11:32:30.4687500AM #100002655,100002656,100002658,100002659,100002661,100002664,100002665,100002667,100002668,100002669,100002671
01:12:2014_11:33:07.3437500AM #100002655,100002656,100002658,100002659,100002661,100002664,100002665,100002667,100002668,100002669,100002671
01:12:2014_11:34:35.7968750AM #100002655
01:12:2014_11:37:22.6406250AM #100002655
01:12:2014_11:39:27.3437500AM #100002655
01:12:2014_11:40:48.6250000AM #100002655
01:12:2014_11:41:11.4218750AM #100002655
01:12:2014_11:41:24.5156250AM #100002655
01:12:2014_11:41:40.3125000AM #100002656
01:12:2014_11:41:58.1562500AM #100002656
01:12:2014_11:43:01.2031250AM #100002655,100002656,100002658,100002659,100002660,100002661,100002664,100002665,100002667,100002668,100002669,100002670,100002671
01:12:2014_11:43:10.6562500AM #100002655,100002656,100002658,100002659,100002660,100002661,100002664,100002665,100002667,100002668,100002669,100002670,100002671
01:12:2014_11:44:55.8593750AM #100002655,100002656,100002658,100002659,100002660,100002661,100002664,100002665,100002667,100002668,100002669,100002670,100002671
01:12:2014_11:50:05.3125000AM #100002655,100002656,100002658,100002659,100002660,100002661,100002664,100002665,100002667,100002668,100002669,100002670,100002671
01:12:2014_11:53:42.7656250AM #100002655,100002656,100002658,100002659,100002660,100002661,100002664,100002665,100002667,100002668,100002669,100002670,100002671
01:12:2014_12:14:15.7031250PM #100002655,100002656,100002658,100002659,100002660,100002661,100002664,100002665,100002667,100002668,100002669,100002670,100002671
01:12:2014_12:24:09.7812500PM #100002660,100002670
01:12:2014_12:28:29.8750000PM #100002660,100002670
01:12:2014_12:29:22.9062500PM #100002655,100002656,100002658,100002659,100002660,100002661,100002664,100002665,100002667,100002668,100002669,100002670,100002671
